v1,v2
ham,"[롯데택배] 고객님, 상품이 금일 도착 예정입니다. 송장번호: 574582215862 배송조회: https://www.hanjin.co.kr 문의: 1588-0000"
ham,"[SKT] 고객님, 이번 달 요금은 58,461원입니다. 납부기한: 2025.05.13 자동이체일: 2025.05.11 문의: 1600-1234"
ham,"[한진택배] 고객님, 상품이 금일 도착 예정입니다. 송장번호: 358270956559 배송조회: https://www.hanjin.co.kr 문의: 1588-0000"
ham,"[한진택배] 고객님, 상품이 금일 도착 예정입니다. 송장번호: 636242117244 배송조회: https://www.hanjin.co.kr 문의: 1588-0000"
ham,"[롯데택배] 고객님, 상품이 금일 도착 예정입니다. 송장번호: 787532022166 배송조회: https://www.hanjin.co.kr 문의: 080-000-0000"
ham,"[롯데택배] 고객님, 상품이 금일 도착 예정입니다. 송장번호: 846875891075 배송조회: https://www.hanjin.co.kr 문의: 1544-7777"
ham,"[CJ대한통운] 고객님, 상품이 금일 도착 예정입니다. 송장번호: 823338153551 배송조회: https://www.epost.go.kr 문의: 1600-1234"
ham,"[알뜰폰] 고객님, 이번 달 요금은 49,714원입니다. 납부기한: 2025.05.13 자동이체일: 2025.05.11 문의: 080-000-0000"
ham,"[CJ대한통운] 고객님, 상품이 금일 도착 예정입니다. 송장번호: 682621069589 배송조회: https://www.epost.go.kr 문의: 1600-1234"
ham,"[국민카드] 고객님, 2025.04.30 12:30 승인 79,815원 / GS25(대전 유성구) 누적 이용금액 84,485원 문의: 1800-9999 ※ 본 문자는 승인내역 안내용입니다."
ham,"[KT] 고객님, 이번 달 요금은 30,062원입니다. 납부기한: 2025.05.13 자동이체일: 2025.05.11 문의: 080-000-0000"
ham,"[우리카드] 고객님, 2025.04.10 05:45 승인 64,066원 / 스타벅스(대전 유성구) 누적 이용금액 98,084원 문의: 1588-0000 ※ 본 문자는 승인내역 안내용입니다."
ham,"[롯데택배] 고객님, 상품이 금일 도착 예정입니다. 송장번호: 324423108244 배송조회: https://www.epost.go.kr 문의: 1588-0000"
ham,"[우체국택배] 고객님, 상품이 금일 도착 예정입니다. 송장번호: 921906639966 배송조회: https://www.lotteglogis.com 문의: 080-000-0000"
ham,"[우리카드] 고객님, 2025.05.02 02:58 승인 49,470원 / 스타벅스(인천 연수구) 누적 이용금액 64,665원 문의: 080-000-0000 ※ 본 문자는 승인내역 안내용입니다."
ham,"[롯데택배] 고객님, 상품이 금일 도착 예정입니다. 송장번호: 983801736902 배송조회: https://www.cjlogistics.com 문의: 114"
ham,"[KT] 고객님, 이번 달 요금은 92,801원입니다. 납부기한: 2025.05.13 자동이체일: 2025.05.11 문의: 1600-1234"
spam,"(광고)신교하농협 하나로마트ifg@**********ifg@ifg@신교하농협 하나로마트 특가 및 소식 안내입니다.ifg@ifg@※한우 초특가 세일※ifg@*월*일 까지ifg@한우 등심 *+등급/***g *,***원ifg@한우 채끝 *+등급/***g *,***원ifg@(*인*팩 한정)ifg@ifg@*. 수요장터ifg@*월*일(수)ifg@한우부채살(*+등급이상/***g/국내산)ifg@*,***원(*인*팩/***팩한정)ifg@대추방울토마토(***g/팩/국내산)ifg@*,***원(*인*팩 한정)ifg@샤인머스켓(*kg/박스/국내산)ifg@**,***원(*인*박스 한정)ifg@양파(*.*kg/망/국내산)ifg@*,***원(*인*망 한정)ifg@한돈등갈비(***g/국내산)ifg@*,***원(*인*팩/***팩한정)ifg@한우육회(***g/국내산)ifg@*,***원(*인*팩/***팩한정)ifg@ifg@*. 신년 이벤트ifg@- *월*일(수) 단 하루ifg@ *) *만원 이상 구매시 한우사골곰탕 *팩 증정ifg@ *) 정육 *만원 이상 구매시 한우사골곰탕 또는 모둠 버섯세트 중 택일하여 증정 ifg@※네이버 밴드 및 카카오 채널 회원한정 / 당일 구매 영수증 고객만족센터에서 확인 후 증정※ifg@ *) 새해맞이 로컬푸드 꿀차 증정ifg@신교하농협 하나로마트 방문하시는 모든 고객님들께 로컬푸드 꿀차를 제공합니다.ifg@따뜻하게 꿀차 한잔 하시면서 달달하고 즐거운 쇼핑 즐기세요:)ifg@ - 위치 : *층 고객만족센터ifg@ifg@ifg@신교하농협 하나로마트 네이버밴드 가입 바로가기ifg@↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ifg@https://band.us/band/********ifg@ifg@무료수신거부 ***-***-****"
ham,"[롯데택배] 고객님, 상품이 금일 도착 예정입니다. 송장번호: 729342123140 배송조회: https://www.cjlogistics.com 문의: 1588-0000"
spam,"[Web발신]ifg@(광고): [코르딕스 연말감사제]내일 자정 종료됩니다.ifg@ifg@ *년에 단 *번! 최대 *만원 상당 쿠폰팩 혜택, 늦으면 품절! ifg@ifg@[*]전 캐리어 제품, 추가 *% 할인 ifg@[*]**명 한정 *만원 상당 쿠폰팩 ifg@[*]**년 무상 AS 워런티 증정 ifg@[*]회원가입하고 구매시 무료배송 적용 ifg@ifg@↓마지막 연말감사제 혜택 받기↓ ifg@https://vo.la/rokpOzifg@수신거부 https://chta.lk/ZmFwIvVr"
spam,[국제발신]ifg@저 방금 다 씻고 만져주기를 기다리고 있어요 +LINE:aazy***
ham,"[KT] 고객님, 이번 달 요금은 95,420원입니다. 납부기한: 2025.05.13 자동이체일: 2025.05.11 문의: 1588-0000"
ham,"[LG U+] 고객님, 이번 달 요금은 90,140원입니다. 납부기한: 2025.05.13 자동이체일: 2025.05.11 문의: 080-000-0000"
